epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.14173,1.3985,3.68189,1.26895,0.00556,0.90909,0.02083,0.00663,1.2045,3.38432,0.97353,0,0,0
2,0.32039,1.1928,3.65311,1.11597,0.00556,0.90909,0.0244,0.00713,1.19917,3.38145,0.98397,1.99901e-05,1.99901e-05,1.99901e-05
3,0.512359,1.3095,3.5906,1.20298,0.00556,0.90909,0.01825,0.00647,1.19577,3.37953,0.98315,3.99604e-05,3.99604e-05,3.99604e-05
4,0.696041,1.25245,3.58721,1.12806,0.00556,0.90909,0.0221,0.00759,1.20656,3.36855,0.98173,5.99109e-05,5.99109e-05,5.99109e-05
5,0.853576,1.11856,3.52239,1.09296,0.00556,0.90909,0.01969,0.00685,1.21274,3.36552,0.98248,7.98416e-05,7.98416e-05,7.98416e-05
6,1.007,1.24773,3.46213,1.17657,0.00611,1,0.04401,0.02975,1.31546,3.28925,0.94635,9.97525e-05,9.97525e-05,9.97525e-05
7,1.19972,0.99041,3.32829,1.03209,0.00611,1,0.21813,0.1868,1.23173,3.19289,0.92396,0.000119644,0.000119644,0.000119644
8,1.38656,1.07164,3.20059,1.04421,0.00611,1,0.38122,0.28052,1.23541,3.16265,0.91357,0.000139515,0.000139515,0.000139515
9,1.75229,1.01921,2.86677,1.01387,0.00611,1,0.75761,0.48445,1.25424,3.11976,0.91255,0.000159366,0.000159366,0.000159366
10,1.94105,1.05142,2.37565,0.96622,0.00611,1,0.88753,0.56394,1.24918,3.05064,0.9052,0.000179198,0.000179198,0.000179198
11,2.12953,1.1373,2.24589,0.9959,0.00611,1,0.93642,0.58689,1.26278,2.98599,0.90571,0.00019901,0.00019901,0.00019901
12,2.32181,1.05099,1.81483,0.9668,0.00611,1,0.97571,0.59242,1.25014,2.93269,0.90562,0.000218802,0.000218802,0.000218802
13,2.51394,1.00394,1.38913,0.94457,1,0.81377,0.9875,0.55314,1.24171,2.85863,0.89731,0.000238574,0.000238574,0.000238574
14,2.70062,1.07283,1.73549,0.95225,1,0.74862,0.9875,0.53182,1.27315,2.80984,0.90196,0.000258327,0.000258327,0.000258327
15,2.886,1.0073,1.53649,0.97194,1,0.6392,0.98,0.53657,1.25593,2.87505,0.9014,0.00027806,0.00027806,0.00027806
16,3.07383,1.1803,1.52204,1.02191,0.01944,1,0.94931,0.52103,1.23591,2.90923,0.90034,0.000297773,0.000297773,0.000297773
17,3.26195,1.06558,1.36336,0.95853,0.00611,1,0.93131,0.53355,1.24587,2.94702,0.92389,0.000317466,0.000317466,0.000317466
18,3.44978,1.00318,1.27903,0.95471,0.00611,1,0.91331,0.53238,1.26043,2.95742,0.94155,0.000337139,0.000337139,0.000337139
19,3.63787,1.048,1.47684,0.97727,0.00611,1,0.93206,0.53578,1.32736,2.96607,0.97285,0.000356792,0.000356792,0.000356792
20,3.82342,1.04864,1.40273,1.00322,0.00611,1,0.92231,0.52001,1.37148,2.95371,0.97689,0.000376426,0.000376426,0.000376426
21,4.01134,1.01766,1.3045,0.97133,0.00611,1,0.92043,0.51333,1.3732,2.95582,0.99009,0.00039604,0.00039604,0.00039604
22,4.27028,0.98028,1.32874,0.9723,0.00611,1,0.83182,0.51861,1.323,2.97135,1.00117,0.000415634,0.000415634,0.000415634
23,4.45845,0.89555,1.27179,0.99554,0.00611,1,0.77136,0.50246,1.28594,2.97285,0.99367,0.000435208,0.000435208,0.000435208
24,4.64515,0.98233,1.12587,1.01011,0.00611,1,0.566,0.38377,1.24511,3.02703,0.98404,0.000454763,0.000454763,0.000454763
25,4.8341,0.966,1.22622,0.98462,0.00611,1,0.37683,0.26643,1.17357,3.12875,0.95822,0.000474298,0.000474298,0.000474298
26,5.02203,0.85599,1.25473,0.97081,0.00611,1,0.27151,0.16141,1.22679,3.19358,0.99676,0.000493813,0.000493813,0.000493813
27,5.21057,0.93629,1.33684,0.96083,0.00611,1,0.24303,0.14991,1.25632,3.2189,0.99971,0.000513308,0.000513308,0.000513308
28,5.39956,0.91807,1.16443,0.93544,0.00611,1,0.19147,0.14874,1.29767,3.24545,1.03514,0.000532783,0.000532783,0.000532783
29,5.5873,0.92308,1.20477,0.99747,0.00611,1,0.18719,0.14236,1.31399,3.23238,1.06688,0.000552238,0.000552238,0.000552238
30,5.77555,0.89738,1.08881,0.92293,0.00611,1,0.1343,0.12188,1.32602,3.21786,1.05359,0.000571674,0.000571674,0.000571674
31,5.95585,0.86221,1.03965,0.9405,0.00611,1,0.1343,0.12188,1.32602,3.21786,1.05359,0.00059109,0.00059109,0.00059109
32,6.14962,0.98756,1.05064,0.97566,0.00611,1,0.11284,0.09521,1.31019,3.2184,1.05405,0.000610486,0.000610486,0.000610486
33,6.331,0.91994,1.20853,0.97052,0.00611,1,0.11284,0.09521,1.31019,3.2184,1.05405,0.000629862,0.000629862,0.000629862
34,6.51965,0.93851,1.11717,0.98247,0.00611,1,0.11274,0.1048,1.26606,3.18848,1.03197,0.000649219,0.000649219,0.000649219
35,6.77085,0.82402,1.09054,0.92277,0.00611,1,0.11274,0.1048,1.26606,3.18848,1.03197,0.000668556,0.000668556,0.000668556
36,6.96555,0.81774,1.10079,0.96756,0.00611,1,0.11255,0.09598,1.21905,3.14626,1.0207,0.000687873,0.000687873,0.000687873
37,7.14885,0.83269,1.02344,0.90392,0.00611,1,0.11255,0.09598,1.21905,3.14626,1.0207,0.00070717,0.00070717,0.00070717
38,7.33645,0.84393,1.11581,0.94297,0.00611,1,0.0393,0.0285,1.25942,3.07055,1.03761,0.000726447,0.000726447,0.000726447
39,7.51476,0.76363,0.94024,0.91358,0.00611,1,0.0393,0.0285,1.25942,3.07055,1.03761,0.000745704,0.000745704,0.000745704
40,7.69995,0.82224,0.99336,0.89168,0.00611,1,0.35177,0.21056,1.33556,2.97822,1.04782,0.000764942,0.000764942,0.000764942
41,7.87798,0.87504,1.07618,0.9685,0.00611,1,0.35177,0.21056,1.33556,2.97822,1.04782,0.00078416,0.00078416,0.00078416
42,8.06706,0.96019,1.1425,0.99309,0.00611,1,0.63148,0.38037,1.39572,2.92459,1.04142,0.000803358,0.000803358,0.000803358
43,8.24934,0.87642,0.99191,0.91466,0.00611,1,0.63148,0.38037,1.39572,2.92459,1.04142,0.000822536,0.000822536,0.000822536
44,8.43839,0.83959,0.94484,0.91869,0.00611,1,0.61421,0.38608,1.3534,2.8896,1.02323,0.000841695,0.000841695,0.000841695
