epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8.28976,0.87762,1.00611,0.92772,0.00611,1,0.28769,0.23114,1.27819,2.91046,0.99208,0.000824124,0.000824124,0.000824124
44,8.47646,0.87583,0.98482,0.95251,1,0.17034,0.3272,0.23959,1.29303,2.88033,0.98353,0.000843359,0.000843359,0.000843359
45,8.65301,0.80116,0.9633,0.89805,1,0.17034,0.3272,0.23959,1.29303,2.88033,0.98353,0.000862576,0.000862576,0.000862576
46,8.9091,0.78169,0.95687,0.90721,1,0.16412,0.59014,0.38377,1.33416,2.80002,0.99915,0.000881775,0.000881775,0.000881775
47,9.10608,0.82227,1.01649,0.93575,1,0.16412,0.59014,0.38377,1.33416,2.80002,0.99915,0.000900956,0.000900956,0.000900956
48,9.29036,0.88964,0.98426,0.96809,1,0.17013,0.72492,0.4919,1.29167,2.74994,0.99321,0.000920119,0.000920119,0.000920119
49,9.46651,0.81279,0.9458,0.88955,1,0.17013,0.72492,0.4919,1.29167,2.74994,0.99321,0.000939264,0.000939264,0.000939264
50,9.65108,0.79926,1.0003,0.93329,1,0.18628,0.90815,0.60544,1.22472,2.70304,0.98543,0.000958391,0.000958391,0.000958391
51,9.83198,0.78628,0.91443,0.91037,1,0.18628,0.90815,0.60544,1.22472,2.70304,0.98543,0.0009775,0.0009775,0.0009775
52,10.0171,0.88179,0.97787,0.91763,1,0.34344,0.9275,0.64428,1.16108,2.67818,0.97321,0.000996591,0.000996591,0.000996591
53,10.2001,0.76217,0.88393,0.90831,1,0.34344,0.9275,0.64428,1.16108,2.67818,0.97321,0.00101566,0.00101566,0.00101566
54,10.3932,0.8031,0.92314,0.89253,0.88797,0.90909,0.90571,0.62018,1.21309,2.65265,0.99439,0.00103472,0.00103472,0.00103472
55,10.5752,0.73987,0.87162,0.88276,0.88797,0.90909,0.90571,0.62018,1.21309,2.65265,0.99439,0.00105376,0.00105376,0.00105376
56,10.7612,0.81204,0.93467,0.92553,0.00611,1,0.74952,0.491,1.25337,2.67901,1.01246,0.00107277,0.00107277,0.00107277
57,10.9428,0.7556,0.84671,0.8886,0.00611,1,0.74952,0.491,1.25337,2.67901,1.01246,0.00109178,0.00109178,0.00109178
58,11.1273,0.76985,0.90882,0.89132,0.02227,0.90909,0.70384,0.42166,1.29823,2.62869,1.03805,0.00111076,0.00111076,0.00111076
59,11.3773,0.88906,0.90149,0.94212,0.02227,0.90909,0.70384,0.42166,1.29823,2.62869,1.03805,0.00112972,0.00112972,0.00112972
60,11.5593,0.75369,0.84712,0.9027,0.60249,0.27613,0.58946,0.32822,1.35069,2.6438,1.16624,0.00114867,0.00114867,0.00114867
61,11.7342,0.77744,0.89352,0.94415,0.60249,0.27613,0.58946,0.32822,1.35069,2.6438,1.16624,0.0011676,0.0011676,0.0011676
62,11.9192,0.71682,0.88375,0.89478,0.75495,0.63636,0.61813,0.3323,1.35265,2.63162,1.1555,0.00118651,0.00118651,0.00118651
63,12.0977,0.77132,0.85091,0.91314,0.75495,0.63636,0.61813,0.3323,1.35265,2.63162,1.1555,0.0012054,0.0012054,0.0012054
64,12.2851,0.85537,0.93464,0.96251,0.51759,0.63636,0.50678,0.28025,1.27592,2.80206,1.08621,0.00122428,0.00122428,0.00122428
65,12.4635,0.70195,0.8847,0.85927,0.51759,0.63636,0.50678,0.28025,1.27592,2.80206,1.08621,0.00124314,0.00124314,0.00124314
66,12.6511,0.72845,0.89196,0.89119,0.44292,0.15068,0.48254,0.28912,1.31648,2.80829,1.12623,0.00126198,0.00126198,0.00126198
67,12.8297,0.70164,0.85032,0.87022,0.44292,0.15068,0.48254,0.28912,1.31648,2.80829,1.12623,0.0012808,0.0012808,0.0012808
68,13.0182,0.77385,0.96471,0.93044,0.49287,0.17793,0.5787,0.29919,1.45281,2.63427,1.33236,0.0012996,0.0012996,0.0012996
69,13.198,0.71959,0.84269,0.91338,0.49287,0.17793,0.5787,0.29919,1.45281,2.63427,1.33236,0.00131838,0.00131838,0.00131838
70,13.3876,0.71513,0.82328,0.89227,0.6251,0.30695,0.56918,0.315,1.44629,2.54248,1.37455,0.00133715,0.00133715,0.00133715
71,13.5757,0.72166,0.77419,0.87585,0.6251,0.30695,0.56918,0.315,1.44629,2.54248,1.37455,0.0013559,0.0013559,0.0013559
72,13.8362,0.69601,0.75372,0.89186,0.76192,0.45455,0.64458,0.37226,1.43598,2.4801,1.20028,0.00137463,0.00137463,0.00137463
73,14.0162,0.68655,0.78672,0.87158,0.76192,0.45455,0.64458,0.37226,1.43598,2.4801,1.20028,0.00139334,0.00139334,0.00139334
74,14.2018,0.68222,0.784,0.91036,1,0.54514,0.72389,0.38499,1.5638,2.39295,1.23116,0.00141204,0.00141204,0.00141204
75,14.385,0.72296,0.77565,0.90891,1,0.54514,0.72389,0.38499,1.5638,2.39295,1.23116,0.00143072,0.00143072,0.00143072
76,14.572,0.67194,0.73324,0.88535,0.84872,0.51331,0.71799,0.44868,1.4287,2.3871,1.16565,0.00144938,0.00144938,0.00144938
77,14.7488,0.7372,0.81102,0.90733,0.84872,0.51331,0.71799,0.44868,1.4287,2.3871,1.16565,0.00146802,0.00146802,0.00146802
78,14.9338,0.70851,0.85366,0.8552,0.67956,0.18182,0.50158,0.27439,1.51161,2.77299,1.30964,0.00148664,0.00148664,0.00148664
79,15.1105,0.78535,0.75913,0.90919,0.67956,0.18182,0.50158,0.27439,1.51161,2.77299,1.30964,0.00150524,0.00150524,0.00150524
80,15.295,0.80374,0.84378,0.92319,1,0.25418,0.50393,0.28011,1.4463,2.74888,1.35573,0.00152383,0.00152383,0.00152383
81,15.4724,0.71748,0.7581,0.90663,1,0.25418,0.50393,0.28011,1.4463,2.74888,1.35573,0.0015424,0.0015424,0.0015424
82,15.6557,0.74272,0.79557,0.91055,0.5701,0.36364,0.52428,0.32521,1.41548,2.36112,1.30807,0.00156095,0.00156095,0.00156095
83,15.8327,0.69761,0.77509,0.92843,0.5701,0.36364,0.52428,0.32521,1.41548,2.36112,1.30807,0.00157948,0.00157948,0.00157948
84,16.0204,0.73067,0.78056,0.9154,0.84374,0.4943,0.75326,0.47012,1.37894,2.0492,1.22476,0.001598,0.001598,0.001598
85,16.1972,0.77531,0.72917,0.92496,0.84374,0.4943,0.75326,0.47012,1.37894,2.0492,1.22476,0.0016165,0.0016165,0.0016165
86,16.3801,0.67479,0.66938,0.88508,1,0.7861,0.90426,0.49942,1.36993,1.8213,1.24077,0.00163498,0.00163498,0.00163498
87,16.629,0.86511,0.88766,0.90514,1,0.7861,0.90426,0.49942,1.36993,1.8213,1.24077,0.00165344,0.00165344,0.00165344
88,16.8128,0.80534,0.77177,0.93274,1,0.72687,0.88573,0.52528,1.33114,1.74121,1.1785,0.00167188,0.00167188,0.00167188
89,16.9905,0.80232,0.80535,0.90293,1,0.72687,0.88573,0.52528,1.33114,1.74121,1.1785,0.0016903,0.0016903,0.0016903
90,17.1837,0.73992,0.76898,0.92594,0.75761,0.90909,0.8627,0.51181,1.35809,1.66496,1.196,0.00170871,0.00170871,0.00170871
91,17.3626,0.7396,0.80632,0.9632,0.75761,0.90909,0.8627,0.51181,1.35809,1.66496,1.196,0.0017271,0.0017271,0.0017271
92,17.5461,0.72221,0.78252,0.91917,0.75761,0.90909,0.8627,0.51181,1.35809,1.66496,1.196,0.00174547,0.00174547,0.00174547
93,17.7323,0.80588,0.82185,0.91351,0.89619,0.78699,0.83508,0.52629,1.33068,1.45197,1.21103,0.00176382,0.00176382,0.00176382
94,17.9106,0.8052,0.78489,0.92162,0.89619,0.78699,0.83508,0.52629,1.33068,1.45197,1.21103,0.00178216,0.00178216,0.00178216
95,18.0922,0.70422,0.75737,0.92177,0.89619,0.78699,0.83508,0.52629,1.33068,1.45197,1.21103,0.00180048,0.00180048,0.00180048
96,18.2753,0.81639,0.83235,0.92627,1,0.80547,0.91253,0.60396,1.27951,1.33473,1.18273,0.00181878,0.00181878,0.00181878
97,18.4544,0.8208,0.91683,0.9384,1,0.80547,0.91253,0.60396,1.27951,1.33473,1.18273,0.00183706,0.00183706,0.00183706
98,18.6335,0.74705,0.72059,0.89938,1,0.80547,0.91253,0.60396,1.27951,1.33473,1.18273,0.00185532,0.00185532,0.00185532
99,18.8225,0.74171,0.71874,0.91767,0.89893,0.80939,0.86108,0.56906,1.34509,1.45501,1.17982,0.00187356,0.00187356,0.00187356
100,18.9944,0.70188,0.70111,0.88807,0.89893,0.80939,0.86108,0.56906,1.34509,1.45501,1.17982,0.00189179,0.00189179,0.00189179
101,19.2393,0.73378,0.76044,0.90141,0.89893,0.80939,0.86108,0.56906,1.34509,1.45501,1.17982,0.00191,0.00191,0.00191
102,19.4233,0.69479,0.6906,0.90027,0.90647,0.88284,0.8663,0.55584,1.4996,1.52307,1.20994,0.0019091,0.0019091,0.0019091
103,19.5951,0.7055,0.75097,0.90333,0.90647,0.88284,0.8663,0.55584,1.4996,1.52307,1.20994,0.0019082,0.0019082,0.0019082
104,19.7709,0.71397,0.69499,0.87509,0.90647,0.88284,0.8663,0.55584,1.4996,1.52307,1.20994,0.0019073,0.0019073,0.0019073
105,19.9511,0.69907,0.71554,0.89744,0.90576,0.87582,0.89324,0.53369,1.47974,1.35729,1.22215,0.0019064,0.0019064,0.0019064
106,20.1279,0.69607,0.71946,0.90119,0.90576,0.87582,0.89324,0.53369,1.47974,1.35729,1.22215,0.0019055,0.0019055,0.0019055
107,20.3072,0.70173,0.70647,0.8831,0.90576,0.87582,0.89324,0.53369,1.47974,1.35729,1.22215,0.0019046,0.0019046,0.0019046
108,20.4886,0.76745,0.77138,0.91327,0.89948,1,0.92,0.58883,1.47017,1.19632,1.25162,0.0019037,0.0019037,0.0019037
109,20.6581,0.70811,0.69153,0.94076,0.89948,1,0.92,0.58883,1.47017,1.19632,1.25162,0.0019028,0.0019028,0.0019028
110,20.8292,0.69593,0.65189,0.89589,0.89948,1,0.92,0.58883,1.47017,1.19632,1.25162,0.0019019,0.0019019,0.0019019
111,21.007,0.78344,0.7582,0.97393,0.91655,0.99865,0.965,0.60717,1.37646,1.11744,1.22076,0.001901,0.001901,0.001901
112,21.1786,0.62503,0.63831,0.87132,0.91655,0.99865,0.965,0.60717,1.37646,1.11744,1.22076,0.0019001,0.0019001,0.0019001
113,21.3496,0.67934,0.64338,0.88866,0.91655,0.99865,0.965,0.60717,1.37646,1.11744,1.22076,0.0018992,0.0018992,0.0018992
114,21.6016,0.70106,0.66323,0.88792,0.9942,1,0.995,0.6169,1.36506,1.04641,1.20698,0.0018983,0.0018983,0.0018983
115,21.7737,0.75649,0.68364,0.9153,0.9942,1,0.995,0.6169,1.36506,1.04641,1.20698,0.0018974,0.0018974,0.0018974
116,21.9526,0.62163,0.61932,0.89744,0.9942,1,0.995,0.6169,1.36506,1.04641,1.20698,0.0018965,0.0018965,0.0018965
117,22.1339,0.67087,0.67402,0.86902,0.99258,1,0.995,0.55541,1.38995,0.99873,1.17687,0.0018956,0.0018956,0.0018956
118,22.3136,0.6807,0.63741,0.88855,0.99258,1,0.995,0.55541,1.38995,0.99873,1.17687,0.0018947,0.0018947,0.0018947
119,22.4913,0.65737,0.67681,0.88825,0.99258,1,0.995,0.55541,1.38995,0.99873,1.17687,0.0018938,0.0018938,0.0018938
120,22.6759,0.63384,0.65947,0.87233,0.98019,1,0.995,0.56784,1.3328,0.96292,1.25905,0.0018929,0.0018929,0.0018929
121,22.8588,0.70008,0.67996,0.9039,0.98019,1,0.995,0.56784,1.3328,0.96292,1.25905,0.001892,0.001892,0.001892
122,23.0372,0.69223,0.65076,0.89045,0.98019,1,0.995,0.56784,1.3328,0.96292,1.25905,0.0018911,0.0018911,0.0018911
